Country,LAT,LONG,ALT_NAME,FULL_NAME,2000 Female,2000 Male,2010 Female,2010 Male,2012 Female,2012 Male,2013 Female,2013 Male,2015 Female,2015 Male
Liberia,6.5,-9.5,Liberia,Republic of Liberia,172.5,190.7,83.6,94.8,69.2,80.1,65.6,76.5,64.8,74.7
Libya,25,17,Libya,Libya,25.2,30.9,14.8,18.3,13.7,16.9,13,16,12,14.7
Lithuania,56,24,Lithuania,Republic of Lithuania,10.5,13,6.1,7.3,4.9,5.9,4.4,5.4,4.7,5.6
Luxembourg,49.75,6.166667,Luxembourg,Grand Duchy of Luxembourg,4.4,5.2,2.2,2.6,2,2.4,1.9,2.2,1.7,2
Madagascar,-20,47,Madagascar,Republic of Madagascar,103.2,114.9,55.8,64.7,53.9,62.3,51.9,60,45.3,53.6
Malawi,-13.5,34,Malawi,Republic of Malawi,166.5,181.9,85.6,95.9,66.2,75.6,63.3,72.4,59.5,68.3
Malaysia,2.5,112.5,Malaysia,Malaysia,9,11.3,7.1,8.8,7.6,9.3,7.6,9.3,6.3,7.7
Maldives,3.2,73,Maldives,Republic of Maldives,40.1,48.5,11.6,14.3,9.3,11.5,8.8,10.8,7.7,9.4
Mali,17,-4,Mali,Republic of Mali,210.7,228,130.1,142.8,122,133.7,116.7,128.5,108.4,120.4
Malta,35.916667,14.433333,Malta,Republic of Malta,7.1,8.4,6.2,7.3,6.2,7.3,5.6,6.6,5.9,6.9
Marshall Islands,10,167,Marshall Islands,Republic of the Marshall Islands,37.1,45.5,34.7,43.2,33.2,42.3,33.2,41.6,31.9,39.9
Mauritania,20,-12,Mauritania,Islamic Republic of Mauritania,103.8,122.8,89.4,106.2,75.6,91.9,81.7,98.1,79.5,95.8
Mauritius,-20.3,57.583333,Mauritius,Republic of Mauritius,16.2,20.8,13.4,16.9,13.4,16.8,12.7,15.9,12,15
Mexico,23,-102,Mexico,United Mexican States,23.1,28,15.1,18.4,14.5,17.7,13.1,15.8,11.9,14.4
Micronesia,5,152,Federated States of Micronesia,Federated States of Micronesia,49.2,58.4,36.6,44.5,34.5,42.1,32.6,40.1,31,38.2
Monaco,43.733333,7.4,Monaco,Principality of Monaco,4.6,5.7,3.5,4.4,3.5,4.1,3.3,4.1,3.1,3.9
Mongolia,46,105,Mongolia,Mongolia,52.2,72.8,24.2,35.6,22,32.6,25.7,37.6,17.9,26.6
Montenegro,42.5,19.3,Montenegro,Montenegro,12.8,14.7,6.4,7.2,5.5,6.3,5,5.6,4.4,4.9
Morocco,32,-5,Morocco,Kingdom of Morocco,45.7,54.2,29.7,36.4,27.7,34.4,27.2,33.6,24.7,30.3
Mozambique,-18.25,35,Mozambique,Republic of Mozambique,164.6,177.4,97.5,107.8,84.9,94.4,82.5,91.7,73.9,82.9
Myanmar,22,98,Burma,Union of Burma,75.5,88.9,53.6,64.7,47,57.5,45.3,55.4,44.9,54.9
Namibia,-22,17,Namibia,Republic of Namibia,70.3,80.9,49.2,58.1,34.7,42.5,45.5,53.9,41.2,49.4
Nauru,-0.533333,166.916667,Nauru,Republic of Nauru,37,45,35.4,43.1,33.1,40.8,32.7,40.2,31.6,38.9
Nepal,28,84,Nepal,Federal Democratic Republic of Nepal,79.1,82.1,43.2,47.6,39,44.1,37.2,42.1,33.6,37.9
Netherlands,52.5,5.75,Netherlands,Kingdom of the Netherlands,5.5,6.8,4,4.9,3.7,4.5,3.6,4.4,3.4,4.2
New Zealand,-42,174,New Zealand,New Zealand,6.6,8.2,5.6,6.9,5.1,6.3,5.6,6.9,5.1,6.2
Nicaragua,13,-85,Nicaragua,Republic of Nicaragua,36.1,44.2,23.1,28.9,21.5,27.1,20.8,26.1,19.5,24.5
Niger,16,8,Niger,Republic of Niger,222,232.1,119,128.1,109.9,117,99.8,108.3,90.9,99.8
Nigeria,10,8,Nigeria,Federal Republic of Nigeria,177.7,195.5,123.1,137.3,117.8,129.3,110.7,123.8,102.3,114.9
Niue,-19.033333,-169.866667,Niue,Niue,20.6,25.6,23.3,29,22.2,27.9,21.8,27.1,20.4,25.3
Norway,62,10,Norway,Kingdom of Norway,4.3,5.4,2.9,3.6,2.5,3.1,2.5,3.1,2.3,2.9
Oman,21,57,Oman,Sultanate of Oman,14.9,18.2,10.5,12.8,10.4,12.7,10.3,12.5,10.4,12.6
Pakistan,30,70,Pakistan,Islamic Republic of Pakistan,109.3,115.1,88.2,95.2,82.1,89.5,81.9,89.2,77.4,84.6
Palau,6,134,Palau,Republic of Palau,23.7,29.7,17.2,21.5,18.6,22.8,15.5,19.4,14.6,18.2
Panama,9,-80,Panama,Republic of Panama,23.1,28.7,17.6,22,16.4,20.5,16,19.8,15.1,18.8
Papua New Guinea,-6,147,Papua New Guinea,Independent State of Papua New Guinea,73.1,83.6,61.1,70.9,58,67.8,56.5,66,52.5,61.8
Paraguay,-22.993333,-57.996389,Paraguay,Republic of Paraguay,30.3,36.7,21.6,26.4,19.7,24.3,19.7,24.1,18.3,22.5
Peru,-10,-76,Peru,Republic of Peru,35.4,41.6,18.9,23,16.3,19.9,15,18.2,15.2,18.4
Philippines,13,122,Philippines,Republic of the Philippines,35.3,43.9,28.2,35.4,26.1,33.4,26.3,33.3,24.7,31.2
Poland,52,20,Poland,Republic of Poland,8.4,10.1,5.3,6.4,4.5,5.4,4.8,5.7,4.7,5.6
Portugal,39.5,-8,Portugal,Portuguese Republic,6.5,7.9,3.5,4.2,3.3,4,3.4,4.1,3.3,3.9
Qatar,25.5,51.25,Qatar,State of Qatar,11.3,13.4,8.2,9.8,6.9,7.9,7.4,8.9,7.3,8.7
South Korea,37,127.5,South Korea,Republic of Korea,5.8,6.4,3.8,4.4,3.5,4.1,3.4,4,3.2,3.7
Moldova,47,29,Moldova,Republic of Moldova,27.6,34.7,15.1,19.1,15.5,19.6,13.6,17.1,14,17.6
Romania,46,25,Romania,Romania,24,29.8,12.4,15.4,10.8,13.5,10.7,13.2,9.9,12.2
