Country,LAT,LONG,ALT_NAME,FULL_NAME,2000_Male,2010_Male,2012_Male,2013_Male,2015_Male
Timor-Leste,-8.833333,125.75,Timor-Leste,Democratic Republic of Timor-Leste,116.1,68.4,61.6,59.3,56.7
Togo,8,1.166667,Togo,Togolese Republic,129.5,97.5,102.1,90.7,84.4
Tonga,-20,-175,Tonga,Kingdom of Tonga,15.7,15.6,14.2,13.4,15
Trinidad and Tobago,11,-61,Trinidad and Tobago,Republic of Trinidad and Tobago,31.4,25.9,22.8,23.4,22.4
Tunisia,34,9,Tunisia,Tunisian Republic,34.6,18.9,17.4,16.4,15.3
Turkey,39.059012,34.911546,Turkey,Republic of Turkey,42.2,20.7,15.6,21,14.6
Turkmenistan,40,60,Turkmenistan,Turkmenistan,91.8,68.2,60.3,62.5,58.5
Tuvalu,-8,178,Tuvalu,Tuvalu,45.7,34.3,32.5,32,29.5
Uganda,2,33,Uganda,Republic of Uganda,159.8,81.7,75.1,72,59.9
Ukraine,49,32,Ukraine,Ukraine,20.4,13,12,11,9.9
United Arab Emirates,24,54,United Arab Emirates,United Arab Emirates,12.4,9.4,9.3,9.1,7.5
United Kingdom,54,-4,United Kingdom,United Kingdom of Great Britain and Northern Ireland,7.2,5.7,5.3,5,4.7
Tanzania,-6,35,Tanzania,United Republic of Tanzania,136,67.2,57.6,55.4,52.1
United States,39.828175,-98.5795,United States,United States of America,9.3,8.1,7.8,7.5,7.1
Uruguay,-33,-56,Uruguay,Oriental Republic of Uruguay,18.7,13.5,7.8,12.1,11.1
Uzbekistan,41.707542,63.84911,Uzbekistan,Republic of Uzbekistan,70.7,51.8,45,-9999,44.1
Vanuatu,-16,167,Vanuatu,Republic of Vanuatu,30.8,30.8,19.7,18.8,29.8
Venezuela,8,-66,Venezuela,Bolivarian Republic of Venezuela,24.1,18.5,17,16.6,16.6
Vietnam,16.166667,107.833333,Vietnam,Socialist Republic of Vietnam,38.1,28.2,25.9,26.9,24.6
Yemen,15.5,47.5,Yemen,Republic of Yemen,99.9,58.1,64.2,55.2,45.5
Zambia,-15,30,Zambia,Republic of Zambia,171.8,87.8,94.1,93.1,68.9
Zimbabwe,-19,29,Zimbabwe,Republic of Zimbabwe,113,95.7,96,94.8,76.1
