Country,LAT,LONG,ALT_NAME,FULL_NAME,2000_Female,2010_Female,2012_Female,2013_Female,2015_Female
Qatar,25.5,51.25,Qatar,State of Qatar,11.3,8.2,6.9,7.4,7.3
South Korea,37,127.5,South Korea,Republic of Korea,5.8,3.8,3.5,3.4,3.2
Moldova,47,29,Moldova,Republic of Moldova,27.6,15.1,15.5,13.6,14
Romania,46,25,Romania,Romania,24,12.4,10.8,10.7,9.9
Russia,60,100,Russia,Russian Federation,20,10.5,9.1,8.9,8.4
Rwanda,-2,30,Rwanda,Republic of Rwanda,174.5,59.4,50.8,48,37.8
Saint Kitts and Nevis,17.333333,-62.75,Saint Kitts and Nevis,Federation of Saint Kitts and Nevis,16.7,11.3,8.3,9.2,9.6
Saint Lucia,13.883333,-60.966667,Saint Lucia,Saint Lucia,16,14.5,15.5,13,12.8
Saint Vincent and the Grenadines,13.083333,-61.2,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,20.1,18.7,21.2,17.1,16.5
Samoa,-13.803096,-172.178309,Samoa,Independent State of Samoa,19.7,16.9,16.1,16.3,15.8
San Marino,43.933333,12.416667,San Marino,Republic of San Marino,5,3.2,3,2.8,2.6
Sao Tome and Principe,1,7,Sao Tome and Principe,Democratic Republic of Sao Tome and Principe,83.9,51.9,48.7,46.7,43
Saudi Arabia,25,45,Saudi Arabia,Kingdom of Saudi Arabia,21.3,15.9,7.9,14.5,13.6
Senegal,14,-14,Senegal,Republic of Senegal,128.6,59.8,54.5,50.1,44.3
Serbia,44,21,Serbia,Republic of Serbia,11.2,6.8,6,6,6
Seychelles,-4.583333,55.666667,Seychelles,Republic of Seychelles,13.1,13,12,13,12.4
Sierra Leone,8.5,-11.5,Sierra Leone,Republic of Sierra Leone,224.8,151.5,172.9,151.9,113.1
Singapore,1.366667,103.8,Singapore,Republic of Singapore,3.6,2.6,2.6,2.5,2.5
Slovakia,48.666667,19.5,Slovakia,Slovak Republic,10.5,7.5,6.7,6.5,6.6
Slovenia,46.25,15.166667,Slovenia,Republic of Slovenia,5,3,2.8,2.6,2.3
Solomon Islands,-8,159,Solomon Islands,Solomon Islands,30.2,29.1,27.7,27.2,25.5
Somalia,6,48,Somalia,Somalia,166.6,152.8,140.7,138.7,130.2
South Africa,-30,26,South Africa,South Africa,68.9,48.8,40,39.3,37.3
South Sudan,8,30,South Sudan,Republic of South Sudan,174.1,105,98.4,93.8,87.1
Spain,40,-4,Spain,Kingdom of Spain,5.9,4.3,4.1,3.8,3.8
Sri Lanka,7,81,Sri Lanka,Democratic Socialist Republic of Sri Lanka,14.9,9.9,8.8,8.8,8.8
West Bank,31.666667,35.25,West Bank,State of Palestine,27.4,21.7,20.7,19.9,19.3
Sudan,16,30,Sudan,Republic of the Sudan,99.8,74.9,67.3,71.5,65.1
Suriname,4,-56,Suriname,Republic of Suriname,30.4,21.9,18.2,20,18.7
